vict_descent,area,crm_cd,premis_cd,weapon_used_cd,age_group,time_group
2,1,624,0.0,400.0,4.0,4.0
1,1,624,0.0,400.0,2.0,4.0
1,1,624,102.0,0.0,3.0,3.0
2,1,626,0.0,400.0,2.0,1.0
1,9,230,102.0,500.0,4.0,3.0
1,1,0,108.0,500.0,3.0,4.0
2,1,0,108.0,500.0,5.0,3.0
2,1,230,101.0,207.0,4.0,4.0
1,1,930,101.0,0.0,5.0,4.0
1,1,210,0.0,400.0,2.0,3.0
1,1,0,108.0,500.0,3.0,4.0
1,1,121,102.0,400.0,3.0,4.0
2,1,624,502.0,500.0,3.0,4.0
1,1,624,0.0,500.0,5.0,3.0
1,18,236,501.0,400.0,2.0,4.0
1,1,210,0.0,200.0,1.0,4.0
1,1,236,502.0,400.0,4.0,4.0
1,1,0,0.0,511.0,1.0,4.0
2,1,625,0.0,500.0,5.0,2.0
1,1,930,102.0,400.0,2.0,3.0
1,1,624,0.0,400.0,4.0,3.0
2,1,624,0.0,500.0,3.0,3.0
1,1,230,0.0,500.0,5.0,4.0
1,1,624,0.0,400.0,2.0,4.0
1,1,624,502.0,400.0,2.0,4.0
1,1,626,203.0,400.0,1.0,4.0
1,1,0,101.0,500.0,3.0,4.0
1,1,0,101.0,500.0,2.0,1.0
2,1,625,102.0,500.0,5.0,2.0
1,1,860,101.0,400.0,2.0,3.0
1,18,626,501.0,400.0,3.0,4.0
2,1,624,0.0,400.0,2.0,3.0
1,1,210,101.0,207.0,3.0,2.0
1,1,624,0.0,400.0,5.0,3.0
1,1,210,402.0,400.0,1.0,2.0
2,1,624,101.0,500.0,3.0,3.0
1,20,230,102.0,102.0,2.0,4.0
1,1,761,0.0,0.0,2.0,4.0
1,1,626,101.0,500.0,2.0,1.0
1,1,210,101.0,109.0,2.0,3.0
1,4,230,101.0,400.0,2.0,4.0
1,1,860,101.0,400.0,5.0,2.0
1,1,0,102.0,400.0,3.0,4.0
1,1,624,109.0,400.0,3.0,3.0
